Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,17.400000,17.629999,17.209999,17.309999,16.507561,3771962
2020-10-06,17.540001,17.540001,17.120001,17.170000,16.374052,2757603
2020-10-07,17.200001,17.299999,16.920000,17.010000,16.221470,8285948
2020-10-08,17.100000,17.260000,17.030001,17.080000,16.288225,9244756
2020-10-09,17.209999,17.420000,17.080000,17.080000,16.288225,2402646
2020-10-12,17.209999,17.350000,17.030001,17.139999,16.345442,11069460
2020-10-13,17.139999,17.219999,16.910000,17.150000,16.354979,5099474
2020-10-14,17.110001,17.180000,16.780001,16.930000,16.145178,9971679
2020-10-15,16.799999,17.299999,16.780001,17.020000,16.231007,12138623
2020-10-16,17.059999,17.170000,16.799999,16.870001,16.087959,5568117
2020-10-19,16.860001,17.190001,16.510000,16.870001,16.087959,16110120
2020-10-20,17.200001,17.510000,17.059999,17.440001,16.631536,5312862
2020-10-21,17.500000,17.799999,17.250000,17.490000,16.679218,10908662
2020-10-22,17.510000,17.820000,17.309999,17.690001,16.869947,15565176
2020-10-23,17.580000,17.799999,17.250000,17.309999,16.507561,3875511
2020-10-26,17.309999,17.400000,16.799999,17.049999,16.259613,7316080
2020-10-27,17.049999,17.110001,16.709999,16.860001,16.078424,8577652
2020-10-28,16.780001,16.780001,15.750000,16.250000,15.496701,17659006
2020-10-29,16.250000,16.299999,16.049999,16.129999,15.382261,2350183
2020-10-30,16.129999,16.230000,15.960000,16.070000,15.325044,10734999
2020-11-03,16.209999,16.490000,16.020000,16.080000,15.334581,3792294
2020-11-04,16.100000,16.200001,15.950000,16.010000,15.267826,15929969
2020-11-05,16.389999,16.389999,16.090000,16.190001,15.439483,8418265
2020-11-06,16.389999,16.490000,16.100000,16.240000,15.780498,9796902
2020-11-09,16.809999,17.510000,16.809999,17.360001,16.868807,16865129
2020-11-10,17.360001,17.580000,17.110001,17.360001,16.902672,9051864
2020-11-11,17.420000,18.200001,17.410000,17.990000,17.516075,28401011
2020-11-12,17.980000,18.100000,17.459999,17.610001,17.146086,14552434
2020-11-13,17.690001,17.990000,17.680000,17.830000,17.360291,7261564
2020-11-17,18.400000,19.000000,17.959999,18.850000,18.353420,34875731
2020-11-18,18.750000,19.790001,18.500000,19.469999,18.957085,26682089
2020-11-19,19.480000,19.790001,19.240000,19.500000,18.986296,10556244
2020-11-20,19.500000,19.629999,18.950001,19.000000,18.499468,8285272
2020-11-23,19.040001,19.040001,18.299999,18.420000,17.934748,4998957
2020-11-24,18.709999,19.799999,18.440001,19.690001,19.171289,15064463
2020-11-25,19.660000,20.500000,19.520000,20.230000,19.697063,12900468
2020-11-26,19.889999,20.379999,19.889999,20.000000,19.473124,2163442
2020-11-27,20.209999,20.500000,19.700001,19.920000,19.395231,4829598
2020-11-30,20.450001,20.450001,19.570000,20.100000,19.570488,17812498
2020-12-01,20.150000,20.980000,20.150000,20.650000,20.105999,14033352
2020-12-02,20.660000,20.959999,20.040001,20.150000,19.619171,9760088
2020-12-03,20.100000,20.559999,19.700001,20.309999,19.774956,12091622
2020-12-04,20.379999,20.750000,20.330000,20.600000,20.057316,9148851
2020-12-07,20.600000,20.600000,19.900000,20.379999,19.843113,7205471
2020-12-08,20.379999,20.799999,20.379999,20.450001,19.911270,4116891
2020-12-09,20.780001,20.850000,20.450001,20.650000,20.105999,3673886
2020-12-10,20.790001,22.330000,20.700001,22.209999,21.624903,13343883
2020-12-11,22.000000,23.290001,21.650000,22.430000,21.839108,15975968
2020-12-14,22.480000,23.000000,22.219999,22.559999,21.965681,6488543
2020-12-15,22.610001,22.780001,22.090000,22.290001,21.702797,4110050
